ClaimAmount,Area_A,Area_B,Area_C,Area_D,Area_E,Area_F,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,VehGas_Diesel,VehGas_Regular,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94,Exposure,VehPower,VehAge,DrivAge,BonusMalus,Density
995.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32498893490678793,2.2483885898404097,-1.4238941311955935,-0.416579549324778,-0.4582651164190793,-0.2972400193001653
1128.12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8243898742745057,-1.2216646462894445,-1.2303011050187882,0.263938967965784,-0.756128243222668,0.08136594249829666
1851.11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058137334820309944,-1.2216646462894445,-1.036708078841983,-0.8929425114281714,2.0239276069441603,-0.3472083188268658
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2816276588277839,-1.2216646462894445,-1.2303011050187882,0.263938967965784,-0.40862126195181453,-0.4149538018390272
1204.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5370451719791823,2.744110480716103,-1.4238941311955935,-0.5526832527828904,-0.756128243222668,6.002128971993788
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2816276588277839,4.231276153343184,0.5120361305724593,0.19588711623672778,-0.756128243222668,0.09241662412439391
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.058137334820309944,-0.725942755413751,-0.8431150526651776,0.8764056335272897,-0.756128243222668,-0.43417237858006585
54942.62,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5382221223759314,0.7612229172133294,-1.036708078841983,0.5361463748820088,-0.6568405342881385,3.2935108125536487
7620.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5382221223759314,0.7612229172133294,-1.036708078841983,0.5361463748820088,-0.6568405342881385,3.2935108125536487
1204.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2816276588277839,0.2655010263376359,-1.036708078841983,-1.09709806661534,-0.2596896985500201,-0.4733302286899322
77.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24970046968385906,0.2655010263376359,0.5120361305724593,-1.2332017700734523,0.9814066631315997,-0.47477162194551004
1045.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.47319079369133266,0.2655010263376359,-1.036708078841983,-0.07632029067949701,1.4778452078042477,-0.39189150974978076
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3147317983684572,1.7526666989647162,-0.6495220264883723,1.284716743901627,-0.756128243222668,0.9233798359650537
1204.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.835823961209585,-1.2216646462894445,-1.2303011050187882,0.4000426714238964,-0.756128243222668,-0.35970039370854096
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0593142852170587,-0.725942755413751,-0.4559290003115671,-0.2804758458666656,-0.11075813514822574,0.308865844670342
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8243898742745057,-1.2216646462894445,-1.2303011050187882,0.3319908196948402,-0.756128243222668,0.16304489364771105
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.18584609139600936,4.231276153343184,0.5120361305724593,0.8083537817982335,-0.756128243222668,-0.4536311875303675
1204.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.0171299595348033,-1.2216646462894445,-1.2303011050187882,0.19588711623672778,-0.756128243222668,-0.286189337674068
556.14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026210145676385094,-0.23022086453805757,-0.8431150526651776,0.19588711623672778,-0.756128243222668,0.3292855824576956
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0593142852170587,0.7612229172133294,-1.036708078841983,1.2166648921725707,-0.756128243222668,-0.42216076811691666
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5370451719791823,1.2569448080890226,-1.4238941311955935,-0.5526832527828904,-0.756128243222668,1.7942215945433688
1204.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5165520697703367,0.2655010263376359,-1.036708078841983,0.5361463748820088,0.3360365550571574,-0.4704474421787764
556.14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.058137334820309944,-0.23022086453805757,0.12485007821884876,-0.2804758458666656,0.3360365550571574,-0.286189337674068
1204.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.058137334820309944,-0.23022086453805757,0.12485007821884876,-0.2804758458666656,0.3360365550571574,-0.286189337674068
556.14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.4424405549441568,-1.2216646462894445,-1.2303011050187882,-1.5054091769896771,0.7331873907952757,0.31270956001854977
1204.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.4424405549441568,-1.2216646462894445,-1.2303011050187882,-1.5054091769896771,0.7331873907952757,0.31270956001854977
1204.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5689723611231072,1.7526666989647162,-1.036708078841983,-0.8248906596991151,1.7757083346078364,6.002128971993788
417.52,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900645239642348,-0.23022086453805757,-0.6495220264883723,-0.6887869562410027,-0.756128243222668,-0.2592833302366139
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.22920736747501338,1.7526666989647162,-1.036708078841983,-1.09709806661534,-0.061114280680960954,-0.4248033224188095
1204.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6659308789516303,2.2483885898404097,0.31844310439565404,-0.9609943631572275,-0.40862126195181453,-0.41951821381502385
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.7719695829217353,0.2655010263376359,-1.036708078841983,2.373546371566526,-0.756128243222668,-0.43705516509122166
419.23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5165520697703367,0.2655010263376359,-0.06874294795795652,-1.5054091769896771,0.9814066631315997,-0.40798706777040067
1204.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.7400423937778104,-0.725942755413751,-0.6495220264883723,-1.3693054735315646,0.9814066631315997,-0.3548957495232813
9568.34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10149861089931396,-0.23022086453805757,-1.2303011050187882,0.263938967965784,-0.756128243222668,-0.3198218469708857
76.54,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4424405549441568,-0.23022086453805757,0.12485007821884876,-0.9609943631572275,0.13746113718809821,-0.26552936767745144
1204.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5804064480581864,1.7526666989647162,-0.4559290003115671,-0.2804758458666656,-0.756128243222668,-0.344565764524973
6403.42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1334258000432388,-1.2216646462894445,-1.036708078841983,-1.5054091769896771,1.4778452078042477,0.8073476788910328
602.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7719695829217353,-0.725942755413751,-1.036708078841983,0.6041982266110649,-0.756128243222668,0.28796564246446243
1204.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5689723611231072,-0.23022086453805757,-1.036708078841983,1.3527685956306832,-0.756128243222668,-0.47909580171224375
212.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.058137334820309944,2.744110480716103,-1.2303011050187882,0.12783526450767158,-0.7064843887554033,-0.47909580171224375
650.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.8255668246712546,-1.2216646462894445,-1.4238941311955935,0.263938967965784,-0.756128243222668,0.6598451024035609
5537.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18584609139600936,-0.23022086453805757,-0.8431150526651776,0.05978341277861538,-0.756128243222668,-0.36930968207906034
1204.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058137334820309944,-0.725942755413751,-1.036708078841983,0.05978341277861538,-0.756128243222668,6.002128971993788
1128.12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.8255668246712546,-1.2216646462894445,-1.4238941311955935,0.263938967965784,-0.756128243222668,0.6598451024035609
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.835823961209585,-0.725942755413751,-1.4238941311955935,-0.8929425114281714,-0.40862126195181453,-0.38612593672746914
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.22920736747501338,1.2569448080890226,-0.6495220264883723,0.7403019300691773,-0.756128243222668,-0.4392172549745885
556.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9635327177852843,1.2569448080890226,-0.8431150526651776,-0.008268438950440818,0.9814066631315997,0.3290453502484326
1204.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3774092262595585,-0.725942755413751,-0.8431150526651776,-1.165149918344396,1.7260644801405716,-0.16871578734446913
288.17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0593142852170587,-0.725942755413751,0.5120361305724593,-0.1443721424085532,0.13746113718809821,0.3804550430307111
556.14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0593142852170587,-0.725942755413751,0.5120361305724593,-0.1443721424085532,0.13746113718809821,0.3804550430307111
4868.88,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1767659052544275,-1.2216646462894445,-0.8431150526651776,1.0125093369854021,0.13746113718809821,-0.39020988428493986
822.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.005717043467539759,-0.725942755413751,-1.4238941311955935,2.1693908163793574,-0.756128243222668,0.00929627971940163
105.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.005717043467539759,-0.725942755413751,-1.4238941311955935,2.1693908163793574,-0.756128243222668,0.00929627971940163
5102.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.3147317983684572,-1.2216646462894445,0.5120361305724593,0.6722500783401212,-0.756128243222668,-0.47477162194551004
1302.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.3147317983684572,-1.2216646462894445,0.5120361305724593,0.6722500783401212,-0.756128243222668,-0.47477162194551004
1204.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.31355484797170874,-0.23022086453805757,-0.06874294795795652,-0.9609943631572275,1.2296259354679238,-0.43729539730048467
1204.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6123336372021112,-1.2216646462894445,-1.2303011050187882,1.284716743901627,0.038173428253568634,6.002128971993788
602.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0695714217553891,0.7612229172133294,-1.4238941311955935,1.2166648921725707,-0.756128243222668,-0.40366288800366695
1204.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7719695829217353,-0.23022086453805757,-1.036708078841983,1.3527685956306832,-0.756128243222668,-0.1980241168745531
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32498893490678793,0.7612229172133294,-1.036708078841983,-0.4846314010538342,-0.756128243222668,-0.4596369927619421
1128.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8882442525623554,1.7526666989647162,0.5120361305724593,0.263938967965784,-0.6568405342881385,-0.4416195770672183
643.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6123336372021112,0.2655010263376359,-1.2303011050187882,-1.09709806661534,0.7331873907952757,-0.46444163694720175
236.41,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.34548203711563363,0.2655010263376359,-0.4559290003115671,-0.6207351045119466,-0.7064843887554033,-0.35585667836033325
1204.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9954599069292092,0.7612229172133294,-1.036708078841983,-0.07632029067949701,0.7331873907952757,-0.46732442345835756
4673.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4743677440880816,2.2483885898404097,-0.6495220264883723,-0.8929425114281714,-0.756128243222668,-0.48221882043266256
775.22,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31355484797170874,0.2655010263376359,-1.2303011050187882,0.4680945231529525,-0.756128243222668,0.11595938063216629
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31355484797170874,0.2655010263376359,-1.2303011050187882,0.4680945231529525,-0.756128243222668,0.11595938063216629
1204.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.8255668246712546,-0.23022086453805757,0.12485007821884876,-0.5526832527828904,0.9814066631315997,-0.4550725807859454
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9954599069292092,-0.725942755413751,-1.4238941311955935,0.05978341277861538,0.7331873907952757,0.3398557996652669
1204.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6328267394109569,0.7612229172133294,-1.4238941311955935,1.8971834094631326,-0.756128243222668,0.9418777160783035
741.14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9954599069292092,-0.23022086453805757,-1.036708078841983,-0.8929425114281714,-0.061114280680960954,-0.4709279065973023
602.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2930617457628631,-1.2216646462894445,-1.2303011050187882,-1.4373573252606209,1.7260644801405716,0.28796564246446243
556.14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5165520697703367,2.744110480716103,-1.2303011050187882,0.7403019300691773,-0.756128243222668,-0.48221882043266256
